         647060 function calls (643877 primitive calls) in 1.693 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/lib/arraysetops.py:299(_unique1d)
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:369(partial_autocorrelation)
      176    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:262(is_categorical)
        6    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/numeric.py:944(correlate)
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/signal/spectral.py:1583(_spectral_helper)
      310    0.001    0.000    0.001    0.000 {built-in method numpy.where}
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:959(fft_aggregated)
      304    0.001    0.000    0.001    0.000 {built-in method numpy.putmask}
      147    0.001    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/stats/_continuous_distns.py:5216(_sf)
        1    0.000    0.000    0.001    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/generic.py:3323(_take)
        6    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.correlate2}
     3508    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       24    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/missing.py:259(notna)
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/ops.py:1660(wrapper)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:793(get_code)
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/algorithms.py:720(_value_counts_arraylike)
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/tsa/stattools.py:560(pacf)
      205    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:973(is_dtype)
        9    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/lib/function_base.py:3414(median)
        2    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/indexes/base.py:2715(get_indexer)
      774    0.001    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/numerictypes.py:293(issubclass_)
      953    0.001    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:452(construct_from_string)
       70    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/indexes/range.py:69(__new__)
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:1439(binned_entropy)
     1866    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
        1    0.000    0.000    0.001    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/managers.py:1329(take)
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/tsa/ar_model.py:382(_stackX)
       18    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/fft/fftpack.py:55(_raw_fft)
      161    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:199(mgr_locs)
      282    0.001    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/numeric.py:1557(normalize_axis_tuple)
   218/16    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/abc.py:141(__subclasscheck__)
   218/16    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
        9    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2324(ptp)
        6    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/indexes/range.py:520(__getitem__)
       84    0.001    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/lib/twodim_base.py:216(diag)
       85    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2397(amax)
       15    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/fft/fftpack.py:307(rfft)
        9    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/lib/function_base.py:3503(_median)
      300    0.001    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/lib/function_base.py:1419(angle)
      134    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/generic.py:5069(__setattr__)
        1    0.000    0.000    0.001    0.001 {pandas._libs.reduction.reduce}
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/tsa/adfvalues.py:171(mackinnonp)
      221    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:160(is_sparse)
       30    0.001    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/signal/wavelets.py:264(ricker)
       27    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/numeric.py:1017(convolve)
       24    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/indexing.py:1485(__getitem__)
     1866    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
        1    0.000    0.000    0.001    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/indexes/base.py:4447(get_indexer_for)
      374    0.001    0.000    0.001    0.000 {method 'take' of 'numpy.ndarray' objects}
     1867    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:1061(<listcomp>)
       35    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/managers.py:599(_consolidate_check)
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/tsa/stattools.py:418(acf)
       72    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2171(all)
       24    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/concat.py:20(get_dtype_kinds)
        9    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/indexes/base.py:584(_shallow_copy_with_infer)
       69    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/arrays/numpy_.py:127(__init__)
       30    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/numeric.py:2508(within_tol)
       12    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/function_base.py:37(linspace)
      321    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:1694(nonzero)
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:1106(index_mass_quantile)
        1    0.000    0.000    0.001    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/managers.py:1198(reindex_indexer)
       63    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:832(maybe_castable)
       24    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/indexing.py:2205(_getitem_axis)
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/series.py:865(__getitem__)
        2    0.000    0.000    0.001    0.000 {pandas._libs.lib.clean_index_list}
       78    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/base/model.py:1030(__init__)
     6246    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      146    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/numeric.py:2656(seterr)
      371    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
       60    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:977(get_moment)
       35    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/managers.py:600(<listcomp>)
      186    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/arrayprint.py:945(__call__)
      306    0.001    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/reshape/tile.py:494(_preprocess_for_cut)
        9    0.001    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/tsa/tsatools.py:321(lagmat)
      648    0.001    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/algorithms.py:1009(_interpolate)
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/lib/histograms.py:666(histogram)
     2339    0.001    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:117(classes)
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/tsa/ar_model.py:63(__init__)
       75    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:429(repeat)
        4    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/generic.py:10910(stat_func)
        7    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/construction.py:254(_homogenize)
        6    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/indexes/range.py:272(_shallow_copy)
       27    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.correlate}
        7    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/managers.py:1810(_multi_blockify)
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/tsa/base/tsa_model.py:52(__init__)
      450    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath._insert}
       39    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:312(ftype)
        6    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/series.py:975(_get_values)
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/sorting.py:366(compress_group_index)
     2365    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/construction.py:472(<genexpr>)
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:955(<listcomp>)
       78    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/base/data.py:312(_convert_endog_exog)
        4    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/groupby/ops.py:811(__iter__)
       69    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/arrays/numpy_.py:35(__init__)
        4    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/algorithms.py:434(_factorize_array)
       30    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/signal/signaltools.py:572(choose_conv_method)
      147    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/_methods.py:45(_all)
        1    0.000    0.000    0.001    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/managers.py:1241(_slice_take_blocks_ax0)
        1    0.000    0.000    0.001    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/construction.py:484(_convert_object_array)
        4    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/managers.py:318(apply)
        2    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/apply.py:77(f)
        1    0.000    0.000    0.001    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/generic.py:7514(groupby)
        1    0.000    0.000    0.001    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/construction.py:501(<listcomp>)
      372    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.dragon4_positional}
     1335    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:127(<lambda>)
        2    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/base.py:1318(nunique)
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/construction.py:495(convert)
      340    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/sorting.py:103(get_compressed_ids)
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:237(symmetry_looking)
      225    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:592(transpose)
     1638    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     2823    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/groupby/groupby.py:2099(groupby)
     3730    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      192    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/arrayprint.py:916(<genexpr>)
     3230    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/groupby/groupby.py:327(__init__)
     3730    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
       21    0.000    0.000    0.001    0.000 {pandas._libs.lib.infer_dtype}
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/nanops.py:894(nankurt)
     1603    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        1    0.000    0.000    0.001    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/util/_decorators.py:195(wrapper)
      153    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/linalg/linalg.py:144(_commonType)
        1    0.000    0.000    0.001    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/generic.py:1099(rename_axis)
       48    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/generic.py:9817(_check_percentile)
       73    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/numeric.py:3058(__enter__)
      150    0.001    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:876(_open_support_mask)
        6    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/managers.py:1506(get_slice)
      247    0.001    0.000    0.001    0.000 {built-in method numpy.arange}
      108    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/managers.py:139(shape)
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:1719(cdf)
        1    0.000    0.000    0.001    0.001 /anaconda3/envs/mypython3/lib/python3.7/multiprocessing/synchronize.py:186(__init__)
       44    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/common.py:93(is_bool_indexer)
        1    0.000    0.000    0.001    0.001 /anaconda3/envs/mypython3/lib/python3.7/multiprocessing/synchronize.py:50(__init__)
       87    0.000    0.000    0.001    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/reshape/reshape.py:130(_make_sorted_values_labels)
      308    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pkg_resources/extern/__init__.py:23(find_module)
        3    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
        1    0.001    0.001    0.001    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/construction.py:477(<listcomp>)
       58    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/numeric.py:676(require)
       75    0.001    0.000    0.001    0.000 {method 'repeat' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/nanops.py:815(nanskew)
        3    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/sorting.py:387(_reorder_by_uniques)
        2    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/series.py:1612(unique)
       15    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/managers.py:934(get)
        2    0.000    0.000    0.001    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/base.py:1306(unique)
        1    0.000    0.000    0.001    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/generic.py:1282(_set_axis_name)
      932    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
       33    0.000    0.000    0.000    0.000 {method 'partition' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/frame.py:4049(set_index)
     2114    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/numerictypes.py:587(<listcomp>)
        1    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/multiprocessing/synchronize.py:114(_make_name)
        1    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/groupby/grouper.py:403(_get_grouper)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      314    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      743    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:70(<dictcomp>)
       33    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/managers.py:306(_verify_integrity)
        1    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/tempfile.py:153(__next__)
        2    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/generic.py:5699(copy)
       15    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/frame.py:3342(_box_item_values)
        3    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:365(<listcomp>)
        3    0.000    0.000    0.000    0.000 {pandas._libs.lib.maybe_convert_objects}
       17    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:953(maybe_cast_to_datetime)
        1    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/frame.py:3356(__setitem__)
        6    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/fft/fftpack.py:1041(rfftn)
      675    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:634(condition)
       33    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:991(get_centroid)
        3    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/signal/spectral.py:1877(_fft_helper)
        1    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/frame.py:3433(_set_item)
        6    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/signal/_peak_finding.py:25(_boolrelextrema)
       39    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1078(is_datetime64_any_dtype)
       70    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/indexes/range.py:136(_simple_new)
        1    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/series.py:3466(apply)
      602    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/apply.py:101(dtypes)
       52    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/indexes/base.py:504(_simple_new)
        2    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/managers.py:710(copy)
        1    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/generic.py:5457(dtypes)
      192    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/arrayprint.py:911(<genexpr>)
       25    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/construction.py:363(_get_axes)
        1    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/tempfile.py:142(rng)
      314    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      336    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:541(swapaxes)
      246    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/series.py:406(dtype)
        9    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/lib/shape_base.py:599(column_stack)
        3    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:563(median)
      315    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_float64}
        3    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/series.py:913(_get_with)
        1    0.000    0.000    0.000    0.000 {pandas._libs.lib.dicts_to_array}
       72    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2512(amin)
      350    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/indexes/range.py:510(__len__)
        3    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/lib/polynomial.py:168(roots)
       73    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/numeric.py:3063(__exit__)
        1    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/indexes/base.py:3089(reindex)
        1    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/generic.py:3171(_set_item)
       15    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:1000(get_variance)
        2    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/generic.py:5581(astype)
      147    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/stats/_continuous_distns.py:5192(_argcheck)
     2967    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      942    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/fftpack/helper.py:240(_init_nd_shape_and_axes_sorted)
      151    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       17    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/algorithms.py:1417(_get_take_nd_function)
       78    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/base/model.py:762(__init__)
        3    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/lib/histograms.py:351(_get_bin_edges)
       78    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/base/data.py:386(_get_yarr)
       23    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/indexes/base.py:566(_shallow_copy)
        3    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/fftpack/helper.py:157(_init_nd_shape_and_axes)
       98    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/series.py:354(_set_axis)
      324    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/managers.py:141(<genexpr>)
        6    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/signal/_peak_finding.py:1067(<listcomp>)
        3    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:1030(get_kurtosis)
        6    0.000    0.000    0.000    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:472(cid_ce)
